id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo
1,Biblioteca del Centro de Maestros de Chiautla de Tapia,28,Chiautla,-98.88279,19.54944,Biblioteca
2,Biblioteca Cristina Payán,33,Ecatepec de Morelos,-99.03569,19.6003,Biblioteca
3,"Biblioteca del Centro de Enseñanza, Inv. y Ext. en Producción Porcina",45,Jilotepec,-99.5104,19.95739,Biblioteca
4,Biblioteca campus Lomas Verdes,57,Naucalpan de Juárez,-99.26304,19.5071,Biblioteca
5,"Biblioteca de la Escuela Superior de Ingeniería y Arquitectura (ESIA), Unidad Tecamachalco",57,Naucalpan de Juárez,-99.22955,19.43019,Biblioteca
6,Centro de Información y Documentación de la FES Acatlán,57,Naucalpan de Juárez,-99.24619,19.48367,Biblioteca
7,Biblioteca de la Universidad Tecnológica de Nezahualcoyotl,58,Nezahualcóyotl,-98.98802,19.40425,Biblioteca
8,Biblioteca Jesús Reyes Heroles de la FES Aragón,58,Nezahualcóyotl,-99.04538,19.47532,Biblioteca
9,Centro de Información y Documentación de Nezahualcóyotl,58,Nezahualcóyotl,-99.01064,19.40419,Biblioteca
10,Biblioteca de la Universidad Intercultural del Estado de México,74,San Felipe del Progreso,-99.94008,19.7146,Biblioteca
11,Biblioteca de la Universidad Politécnica de Tecámac,81,Tecámac,-98.97753,19.71413,Biblioteca
12,Biblioteca del Centro de Estudios Teotihuacanos,92,Teotihuacán,-98.83389,19.69106,Biblioteca
13,Biblioteca Pablo Ignacio Martínez del Río,95,Tepotzotlán,-99.22138,19.71296,Biblioteca
14,Biblioteca de la Universidad Politécnica de Texcoco,99,Texcoco,-98.89945,19.45067,Biblioteca
15,Unidad de Documentación Científica de la FES Iztacala,104,Tlalnepantla de Baz,-99.18951,19.52445,Biblioteca
16,Biblioteca del Museo Leopoldo Flores,106,Toluca,-99.67828,19.2865,Biblioteca
17,Biblioteca de la Casa de la Cultura Jurídica José María Lozano,106,Toluca,-99.63951,19.28979,Biblioteca
18,"Biblioteca Felipe Montemayor García, Centro INAH Estado de México",106,Toluca,-99.66009,19.29048,Biblioteca
19,Biblioteca Lic. César Camacho Quiroz,106,Toluca,-99.67838,19.28136,Biblioteca
20,Centro de Información y Documentación de la UPVM,109,Tultitlán,-99.127,19.64339,Biblioteca
21,Biblioteca del Centro de Información Juan Francisco Ealy Ortiz,110,Valle de Bravo,-100.1319,19.23915,Biblioteca
22,Biblioteca del Museo Virreinal,118,Zinacantepec,-99.73547,19.28343,Biblioteca
23,"Biblioteca UVM, Campus Lago de Guadalupe",121,Cuautitlán Izcalli,-99.24095,19.63397,Biblioteca
24,Biblioteca Campo 4,121,Cuautitlán Izcalli,-99.19102,19.69023,Biblioteca
25,Biblioteca de la FES Cuautitlán Campo 1,121,Cuautitlán Izcalli,-99.20804,19.63667,Biblioteca
26,Biblioteca del Tecnológico Universitario del Valle de Chalco,122,Valle de Chalco Solidaridad,-98.94594,19.27932,Biblioteca
27,"Tienda de Artesanías CASART, San Martín de las Pirámides",0,Total de la entidad México,-98.83376,19.70504,Casa de artesania
28,Casa de Artesanías de Acambay,1,Acambay de Ruíz Castañeda,0.0,0.0,Casa de artesania
29,Artesanías Nezahualcóyotl,58,Nezahualcóyotl,-99.00126,19.411,Casa de artesania
30,"Tienda de Artesanías CASART, Otumba",65,Otumba,-98.7575,19.69985,Casa de artesania
31,"Tienda de Artesanías CASART, Tenancingo",88,Tenancingo,-99.5851,18.96391,Casa de artesania
32,"Tienda de Artesanías CASART Texcoco, Casa del Constituyente",99,Texcoco,-98.88052,19.51375,Casa de artesania
33,"Tienda de Artesanías CASART, Texcoco (Centro Cultural Mexiquense Bicentenario)",99,Texcoco,-98.89807,19.45341,Casa de artesania
34,"Tienda de Artesanías CASART, Parque de la Ciencia Fundadores",106,Toluca,-99.65517,19.29397,Casa de artesania
35,Tienda de Artesanías CASART Aeropuerto Internacional de Toluca,106,Toluca,-99.57096,19.33856,Casa de artesania
36,"Tienda de Artesanías CASART, Chalco",106,Toluca,-98.8996,19.26339,Casa de artesania
37,"Tienda de Artesanías CASART, Toluca",106,Toluca,-99.63782,19.28541,Casa de artesania
38,"Tienda de Artesanías CASART, Museo Torres Bicentenario",106,Toluca,-99.62911,19.28778,Casa de artesania
39,Casa de Artesanías de Valle de Bravo,110,Valle de Bravo,0.0,0.0,Casa de artesania
40,San Francisco de Asis,14,Atlacomulco,-99.8705,19.8012,Catedral
41,San Buenaventura,24,Cuautitlán,-99.17939,19.66907,Catedral
42,Sagrado Corazón de Jesús,33,Ecatepec de Morelos,-99.04665,19.59951,Catedral
43,Jesús Señor de la Misericordia,58,Nezahualcóyotl,-99.00063,19.40929,Catedral
44,Corpus Cristi,104,Tlalnepantla de Baz,-99.19483,19.5379,Catedral
45,San José,106,Toluca,-99.65725,19.29182,Catedral
46,Centro Regional de Cultura de Acambay Dr. Maximiliano Ruiz Castañeda,1,Acambay de Ruíz Castañeda,-99.84527,19.95399,Centro cultural
47,Casa de Cultura Aculmaitl,2,Acolman,-98.91201,19.63406,Centro cultural
48,Casa de Cultura Aculco,3,Aculco,-99.8274,20.09893,Centro cultural
49,Casa de Cultura Lic. César Camacho Quiroz,4,Almoloya de Alquisiras,0.0,0.0,Centro cultural
50,Casa de Cultura Ignacio Manuel Altamirano,6,Almoloya del Río,-99.48889,19.15949,Centro cultural
51,Casa de Cultura Ricardo García Álvarez,7,Amanalco,0.0,0.0,Centro cultural
52,Casa de Cultura Municipal Profr. Enrique Gómez García,8,Amatepec,-100.18722,18.68456,Centro cultural
53,Casa del Pueblo Amecameca,9,Amecameca,-98.77535,19.13204,Centro cultural
54,Centro Regional de Cultura de Apaxco,10,Apaxco,-99.1746,19.97633,Centro cultural
55,Centro Cultural Atenco José Enrique Espinoza Suárez,11,Atenco,-98.91674,19.55239,Centro cultural
56,Casa de la Cultura Agua Blanca,12,Atizapán,0.0,0.0,Centro cultural
57,Centro Regional de Cultura Atizapán de Zaragoza Lic. Adolfo López Mateos,13,Atizapán de Zaragoza,-99.23553,19.57263,Centro cultural
58,Centro Cultural La Cuadra de Luis Barragán,13,Atizapán de Zaragoza,-99.22586,19.57548,Centro cultural
59,Centro Cultural Calacoaya,13,Atizapán de Zaragoza,-99.235,19.54317,Centro cultural
60,Centro Regional de Cultura de Atlacomulco Lic. Isidro Fabela,14,Atlacomulco,-99.87377,19.79849,Centro cultural
61,Casa de Cultura Atlauhpanecatl,15,Atlautla,0.0,0.0,Centro cultural
62,Casa de Cultura Toltecapan,16,Axapusco,0.0,0.0,Centro cultural
63,Casa Cultura Aquiauhtzin,17,Ayapango,-98.80132,19.12639,Centro cultural
64,Casa de Cultura de Calimaya,18,Calimaya,-99.61861,19.16323,Centro cultural
65,Casa de Cultura Leona Vicario,19,Capulhuac,0.0,0.0,Centro cultural
66,Casa de Cultura Calmecac,20,Coacalco de Berriozábal,0.0,0.0,Centro cultural
67,Centro Cultural Baálamk'aan House Theater,20,Coacalco de Berriozábal,-99.10657,19.63405,Centro cultural
68,Casa de la Cultura Coatepec Harinas,21,Coatepec Harinas,0.0,0.0,Centro cultural
69,Casa de Cultura Cocotli,22,Cocotitlán,-98.86565,19.23612,Centro cultural
70,Casa de Cultura Nezahualcóyotl,23,Coyotepec,0.0,0.0,Centro cultural
71,Casa de la Cultura Luis Nishizawa Flores,24,Cuautitlán,-99.1812,19.6683,Centro cultural
72,Centro Regional de Cultura de Chalco Chimalpahín,25,Chalco,-98.89978,19.26402,Centro cultural
73,Casa de Cultura Lic. Julián Díaz Arias,27,Chapultepec,0.0,0.0,Centro cultural
74,Casa de Cultura Chiautla,28,Chiautla,0.0,0.0,Centro cultural
75,Casa de la Cultura Chicoloapan,29,Chicoloapan,0.0,0.0,Centro cultural
76,Casa de Cultura Chiconcuac,30,Chiconcuac,0.0,0.0,Centro cultural
77,Casa de Cultura Chimalhuacán,31,Chimalhuacán,-98.9456,19.41813,Centro cultural
78,Casa de Cultura Lic. Adolfo López Mateos,32,Donato Guerra,-100.14325,19.30842,Centro cultural
79,Centro Cultural del ISSSTE de Ecatepec,33,Ecatepec de Morelos,-99.05169,19.56528,Centro cultural
80,Centro Regional de Cultura de Ecatepec José María Morelos y Pavón,33,Ecatepec de Morelos,-99.04759,19.59958,Centro cultural
81,Centro Cultural y Recreativo de Ecatepec,33,Ecatepec de Morelos,-99.04497,19.51207,Centro cultural
82,Casa de Cultura Pedro Patiño Ixtolique,34,Ecatzingo,0.0,0.0,Centro cultural
83,Centro Socio Cultural El Dorado,35,Huehuetoca,-99.2032,19.88451,Centro cultural
84,Centro Socio Cultural Josefa Ortiz de Domínguez,35,Huehuetoca,-99.18415,19.82162,Centro cultural
85,Centro Socio Cultural de Artes José Pablo Moncayo,35,Huehuetoca,-99.21887,19.83369,Centro cultural
86,Casa de Cultura Fernando de Alba Ixtlilxóchitl,36,Hueypoxtla,-99.07832,19.90782,Centro cultural
87,Casa de Cultura El Jagüey,37,Huixquilucan,-99.3046,19.38479,Centro cultural
88,Casa de Cultura Sor Juana Inés de la Cruz,37,Huixquilucan,-99.34092,19.35765,Centro cultural
89,Casa de Cultura Isidro Fabela,38,Isidro Fabela,-99.41833,19.55554,Centro cultural
90,Casa de la Cultura Ixtapaluca,39,Ixtapaluca,-98.88401,19.31482,Centro cultural
91,Casa de Cultura Químico José Donaciano Morales y Mier Altamirano,42,Ixtlahuaca,-99.76784,19.56908,Centro cultural
92,Casa de Cultura Químico José Donaciano Morales y Mier Altamirano,42,Ixtlahuaca,-99.76917,19.56981,Centro cultural
93,Casa de Cultura Sor Juana Inés de la Cruz,43,Xalatlaco,0.0,0.0,Centro cultural
94,Casa de Cultura El Capulín,44,Jaltenco,0.0,0.0,Centro cultural
95,Casa de Cultura Mtra. Amalia Márquez Padilla,45,Jilotepec,0.0,0.0,Centro cultural
96,Casa de Cultura Sor Juana Inés de la Cruz,47,Jiquipilco,0.0,0.0,Centro cultural
97,Casa de Cultura Lic. Diego de Nájera Yanguas,48,Jocotitlán,-99.7862,19.71051,Centro cultural
98,Casa de Cultura Ángel Zamora Espinosa,50,Juchitepec,-98.88124,19.0988,Centro cultural
99,Casa de Cultura Profr. Adrián Ortega Monroy,51,Lerma,-99.515,19.28684,Centro cultural
100,Casa de Cultura Malinalxóchitl,52,Malinalco,0.0,0.0,Centro cultural
101,Casa de Cultura Maximiano Sánchez y Pérez,53,Melchor Ocampo,-99.1468,19.69868,Centro cultural
102,Casa de Cultura de Metepec,54,Metepec,0.0,0.0,Centro cultural
103,Casa Tunastral,54,Metepec,-99.59714,19.25286,Centro cultural
104,Casa de Cultura de Mexicaltzingo,55,Mexicaltzingo,-99.58863,19.20814,Centro cultural
105,Casa de Cultura Hemeterio Valverde y Téllez,56,Morelos,0.0,0.0,Centro cultural
106,Centro Cultural Acatlán,57,Naucalpan de Juárez,-99.24827,19.48537,Centro cultural
107,Casa de Cultura Parque Naucalli,57,Naucalpan de Juárez,-99.24208,19.49157,Centro cultural
108,Casa de Cultura Chamapa,57,Naucalpan de Juárez,0.0,0.0,Centro cultural
109,Centro Cultural Ágora,57,Naucalpan de Juárez,0.0,0.0,Centro cultural
110,Casa de Cultura Valle de Aragón,58,Nezahualcóyotl,-99.05247,19.48834,Centro cultural
111,Casa de Cultura Metropolitana Maestro Roberto Ruiz,58,Nezahualcóyotl,-99.03452,19.39602,Centro cultural
112,Centro Cultural Municipal Dr. Jaime Torres Bodet,58,Nezahualcóyotl,-99.01051,19.40482,Centro cultural
113,Centro Cultural El Castillito,58,Nezahualcóyotl,-99.00787,19.40412,Centro cultural
114,Casa de la Cultura Ciudad Lago Epitacio Álvarez de León,58,Nezahualcóyotl,-99.04766,19.45474,Centro cultural
115,Casa de Cultura Bosques de Aragón Mauricio García Vega,58,Nezahualcóyotl,-99.05104,19.47331,Centro cultural
116,Casa Maha Foro Cultural,58,Nezahualcóyotl,0.0,0.0,Centro cultural
117,Centro Cultural Casa Las 2 Fridas,58,Nezahualcóyotl,-98.99499,19.38692,Centro cultural
118,Centro Cultural Nezahualcóyotl,58,Nezahualcóyotl,-99.03326,19.42127,Centro cultural
119,Casa de Cultura Metropolitana,58,Nezahualcóyotl,-99.0343,19.39579,Centro cultural
120,Casa de Cultura Ciudad Lago,58,Nezahualcóyotl,-99.0476,19.4548,Centro cultural
121,Casa de Cultura Las Águilas,58,Nezahualcóyotl,-98.99771,19.38404,Centro cultural
122,Casa de Cultura Campestre Guadalupana,58,Nezahualcóyotl,-99.05189,19.48568,Centro cultural
123,Casa de Cultura Bosques de Aragón,58,Nezahualcóyotl,-99.05087,19.47316,Centro cultural
124,Centro Cultural El Castillito,58,Nezahualcóyotl,-99.00965,19.40325,Centro cultural
125,Centro Cultural Municipal Dr. Jaime Torres Bodet,58,Nezahualcóyotl,-99.01073,19.40408,Centro cultural
126,Centro Cultural Aragón UNAM,58,Nezahualcóyotl,0.0,0.0,Centro cultural
127,Centro Cultural del ISSSTE Nezahualcóyotl,58,Nezahualcóyotl,0.0,0.0,Centro cultural
128,Centro Regional de Cultura de Nezahualcóyotl,58,Nezahualcóyotl,0.0,0.0,Centro cultural
129,Módulo Cultural Multifuncional Nezahualcóyotl,58,Nezahualcóyotl,-99.01935,19.42315,Centro cultural
130,Casa de Cultura Rey Neza,58,Nezahualcóyotl,-98.98338,19.39911,Centro cultural
131,Centro Municipal de Artes Aplicadas,58,Nezahualcóyotl,-99.03012,19.43027,Centro cultural
132,Casa de Cultura Campestre Guadalupana Lic. Prospero Domínguez Trejo,58,Nezahualcóyotl,-99.05162,19.48523,Centro cultural
133,Casa de Cultura Valle de Aragón Pedro Martinez Osorio,58,Nezahualcóyotl,-99.05229,19.48887,Centro cultural
134,Casa de Cultura Unidad Rey Neza Maestro Urbano Cruz Morales,58,Nezahualcóyotl,-98.98325,19.39922,Centro cultural
135,Casa de Cultura Toltecalli,59,Nextlalpan,-99.07844,19.73367,Centro cultural
136,Casa de Cultura Cualcalli,59,Nextlalpan,-99.05117,19.72375,Centro cultural
137,Casa de Cultura Carlos Castillo Peraza,60,Nicolás Romero,0.0,0.0,Centro cultural
138,Casa de Cultura Nicolás Romero La Colmena,60,Nicolás Romero,0.0,0.0,Centro cultural
139,Centro Cultural Atelier de Arte 18,60,Nicolás Romero,-99.29341,19.60876,Centro cultural
140,Casa de Cultura del Pueblo de Barrón,60,Nicolás Romero,0.0,0.0,Centro cultural
141,Casa de Cultura María Elena Vásquez,61,Nopaltepec,-98.70955,19.77928,Centro cultural
142,Centro Regional de Cultura de Ocoyoacac,62,Ocoyoacac,-99.46121,19.27249,Centro cultural
143,Unidad Cultural de Ocuilán,63,Ocuilan,0.0,0.0,Centro cultural
144,Casa de Cultura Abraham Ángel,64,El Oro,0.0,0.0,Centro cultural
145,Casa Regional de Cultura y Casa Museo Gonzalo Carrasco,65,Otumba,0.0,0.0,Centro cultural
146,Centro Regional de Cultura de Otumba,65,Otumba,-98.7575,19.69985,Centro cultural
147,Casa de Cultura Hermanos Flores Magón,66,Otzoloapan,0.0,0.0,Centro cultural
148,Casa de Cultura Ocelotl,67,Otzolotepec,0.0,0.0,Centro cultural
149,Casa de Cultura José Antonio Arzate,68,Ozumba,0.0,0.0,Centro cultural
150,Casa de Cultura Papalotla,69,Papalotla,-98.858,19.56389,Centro cultural
151,Casa de Cultura Municipal de Papalotla,69,Papalotla,-98.85806,19.56338,Centro cultural
152,Centro de Artes y Oficios Carmen Serdán Alatriste,70,La Paz,-98.97956,19.35378,Centro cultural
153,Centro Comunitario Cultural Ciudad Retoño,70,La Paz,-98.98238,19.36871,Centro cultural
154,Casa de Cultura La Paz,70,La Paz,0.0,0.0,Centro cultural
155,Casa de Cultura Polotitlán,71,Polotitlán,0.0,0.0,Centro cultural
156,Casa de Cultura Profr. José Copula Moreno,72,Rayón,0.0,0.0,Centro cultural
157,Casa de Cultura Profr. Jesús Gómez Nava,74,San Felipe del Progreso,-99.95369,19.71369,Centro cultural
158,Casa de Cultura Neteotiloyan,75,San Martín de las Pirámides,-98.82946,19.70744,Centro cultural
159,Casa de Cultura Profra. Rosa Nava de López,76,San Mateo Atenco,0.0,0.0,Centro cultural
160,Casa de Cultura San Mateo Atenco,76,San Mateo Atenco,-99.52751,19.26511,Centro cultural
161,Casa de Cultura Cuitepec San Simón de Guerrero,77,San Simón de Guerrero,-100.00736,19.02315,Centro cultural
162,Casa de Cultura Santiago Santa Ana,78,Santo Tomás,0.0,0.0,Centro cultural
163,Casa de Cultura Soyaniquilpan de Juárez,79,Soyaniquilpan de Juárez,0.0,0.0,Centro cultural
164,Casa de Cultura Dr. José María Coss,80,Sultepec,0.0,0.0,Centro cultural
165,Casa de Cultura Felipe Villanueva,81,Tecámac,-98.97331,19.71272,Centro cultural
166,Centro Regional de Cultura de Tejupilco,82,Tejupilco,-100.14739,18.89669,Centro cultural
167,Casa de Cultura In Acatlixhuayan In Temamatzolli,83,Temamatla,-98.86988,19.2028,Centro cultural
168,Casa de Cultura Temazcalli,84,Temascalapa,-98.86334,19.84281,Centro cultural
169,Centro Regional de Cultura José María Velasco,85,Temascalcingo,0.0,0.0,Centro cultural
170,Centro Regional de Cultura de Temascalcingo José Ma. Velasco,85,Temascalcingo,-100.00245,19.91736,Centro cultural
171,Casa de Cultura 2 de Marzo,87,Temoaya,0.0,0.0,Centro cultural
172,Centro Regional de Cultura de Tenancingo Joaquín Solache Monroy,88,Tenancingo,-99.58517,18.96393,Centro cultural
173,Casa de Cultura Ollin Coatl,89,Tenango del Aire,0.0,0.0,Centro cultural
174,Centro Cultural León Guzmán,90,Tenango del Valle,-99.59155,19.10412,Centro cultural
175,Casa de Cultura Narciso Bassols,90,Tenango del Valle,-99.59409,19.09921,Centro cultural
176,Casa de Cultura Teohuilloyocan,91,Teoloyucan,-99.18471,19.747,Centro cultural
177,Casa de Cultura Ing. Heberto Castillo,92,Teotihuacán,-98.86698,19.68464,Centro cultural
178,Casa de Cultura Rosario de la Peña,94,Tepetlixpa,-458.81871,19.02977,Centro cultural
